#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
     splitmix32|  2.26e+08  |1040074682|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.59504915|  PASSED
      diehard_operm5|   0|   1000000|     100|0.48290799|  PASSED
  diehard_rank_32x32|   0|     40000|     100|0.61478002|  PASSED
    diehard_rank_6x8|   0|    100000|     100|0.50858246|  PASSED
   diehard_bitstream|   0|   2097152|     100|0.55827993|  PASSED
        diehard_opso|   0|   2097152|     100|0.54610145|  PASSED
        diehard_oqso|   0|   2097152|     100|0.31192728|  PASSED
         diehard_dna|   0|   2097152|     100|0.71460267|  PASSED
diehard_count_1s_str|   0|    256000|     100|0.24614511|  PASSED
diehard_count_1s_byt|   0|    256000|     100|0.04202547|  PASSED
 diehard_parking_lot|   0|     12000|     100|0.68281092|  PASSED
    diehard_2dsphere|   2|      8000|     100|0.99980587|   WEAK
    diehard_3dsphere|   3|      4000|     100|0.32610347|  PASSED
     diehard_squeeze|   0|    100000|     100|0.61972729|  PASSED
        diehard_sums|   0|       100|     100|0.61850789|  PASSED
        diehard_runs|   0|    100000|     100|0.48763231|  PASSED
        diehard_runs|   0|    100000|     100|0.92283430|  PASSED
       diehard_craps|   0|    200000|     100|0.93742048|  PASSED
       diehard_craps|   0|    200000|     100|0.11445228|  PASSED
 marsaglia_tsang_gcd|   0|  10000000|     100|0.07184711|  PASSED
 marsaglia_tsang_gcd|   0|  10000000|     100|0.36622735|  PASSED
         sts_monobit|   1|    100000|     100|0.98852942|  PASSED
            sts_runs|   2|    100000|     100|0.61098706|  PASSED
          sts_serial|   1|    100000|     100|0.19320042|  PASSED
          sts_serial|   2|    100000|     100|0.88843655|  PASSED
          sts_serial|   3|    100000|     100|0.94788288|  PASSED
          sts_serial|   3|    100000|     100|0.75027375|  PASSED
          sts_serial|   4|    100000|     100|0.60240392|  PASSED
          sts_serial|   4|    100000|     100|0.91260902|  PASSED
          sts_serial|   5|    100000|     100|0.98182189|  PASSED
          sts_serial|   5|    100000|     100|0.91753578|  PASSED
          sts_serial|   6|    100000|     100|0.73297431|  PASSED
          sts_serial|   6|    100000|     100|0.66546999|  PASSED
          sts_serial|   7|    100000|     100|0.17177040|  PASSED
          sts_serial|   7|    100000|     100|0.24184351|  PASSED
          sts_serial|   8|    100000|     100|0.04566688|  PASSED
          sts_serial|   8|    100000|     100|0.17654556|  PASSED
          sts_serial|   9|    100000|     100|0.14938991|  PASSED
          sts_serial|   9|    100000|     100|0.78884345|  PASSED
          sts_serial|  10|    100000|     100|0.15517693|  PASSED
          sts_serial|  10|    100000|     100|0.78771092|  PASSED
          sts_serial|  11|    100000|     100|0.02718579|  PASSED
          sts_serial|  11|    100000|     100|0.04782160|  PASSED
          sts_serial|  12|    100000|     100|0.77733207|  PASSED
          sts_serial|  12|    100000|     100|0.20477927|  PASSED
          sts_serial|  13|    100000|     100|0.91718144|  PASSED
          sts_serial|  13|    100000|     100|0.75270179|  PASSED
          sts_serial|  14|    100000|     100|0.76510530|  PASSED
          sts_serial|  14|    100000|     100|0.72983131|  PASSED
          sts_serial|  15|    100000|     100|0.35591288|  PASSED
          sts_serial|  15|    100000|     100|0.43971991|  PASSED
          sts_serial|  16|    100000|     100|0.32620285|  PASSED
          sts_serial|  16|    100000|     100|0.88101027|  PASSED
         rgb_bitdist|   1|    100000|     100|0.18192958|  PASSED
         rgb_bitdist|   2|    100000|     100|0.42895922|  PASSED
         rgb_bitdist|   3|    100000|     100|0.50916364|  PASSED
         rgb_bitdist|   4|    100000|     100|0.85522088|  PASSED
         rgb_bitdist|   5|    100000|     100|0.39384013|  PASSED
         rgb_bitdist|   6|    100000|     100|0.03571516|  PASSED
         rgb_bitdist|   7|    100000|     100|0.76777591|  PASSED
         rgb_bitdist|   8|    100000|     100|0.17527032|  PASSED
         rgb_bitdist|   9|    100000|     100|0.73786926|  PASSED
         rgb_bitdist|  10|    100000|     100|0.51514061|  PASSED
         rgb_bitdist|  11|    100000|     100|0.75659914|  PASSED
         rgb_bitdist|  12|    100000|     100|0.90313567|  PASSED
rgb_minimum_distance|   2|     10000|    1000|0.09740159|  PASSED
rgb_minimum_distance|   3|     10000|    1000|0.97161520|  PASSED
rgb_minimum_distance|   4|     10000|    1000|0.11042865|  PASSED
rgb_minimum_distance|   5|     10000|    1000|0.37294243|  PASSED
    rgb_permutations|   2|    100000|     100|0.53947442|  PASSED
    rgb_permutations|   3|    100000|     100|0.67056466|  PASSED
    rgb_permutations|   4|    100000|     100|0.41754518|  PASSED
    rgb_permutations|   5|    100000|     100|0.20453591|  PASSED
      rgb_lagged_sum|   0|   1000000|     100|0.60700668|  PASSED
      rgb_lagged_sum|   1|   1000000|     100|0.89846481|  PASSED
      rgb_lagged_sum|   2|   1000000|     100|0.85602999|  PASSED
      rgb_lagged_sum|   3|   1000000|     100|0.53592230|  PASSED
      rgb_lagged_sum|   4|   1000000|     100|0.30373643|  PASSED
      rgb_lagged_sum|   5|   1000000|     100|0.81219482|  PASSED
      rgb_lagged_sum|   6|   1000000|     100|0.56956512|  PASSED
      rgb_lagged_sum|   7|   1000000|     100|0.79567544|  PASSED
      rgb_lagged_sum|   8|   1000000|     100|0.68610124|  PASSED
      rgb_lagged_sum|   9|   1000000|     100|0.96537730|  PASSED
      rgb_lagged_sum|  10|   1000000|     100|0.92344208|  PASSED
      rgb_lagged_sum|  11|   1000000|     100|0.80842083|  PASSED
      rgb_lagged_sum|  12|   1000000|     100|0.79240710|  PASSED
      rgb_lagged_sum|  13|   1000000|     100|0.75784069|  PASSED
      rgb_lagged_sum|  14|   1000000|     100|0.91352561|  PASSED
      rgb_lagged_sum|  15|   1000000|     100|0.11776423|  PASSED
      rgb_lagged_sum|  16|   1000000|     100|0.41327765|  PASSED
      rgb_lagged_sum|  17|   1000000|     100|0.82599323|  PASSED
      rgb_lagged_sum|  18|   1000000|     100|0.86997300|  PASSED
      rgb_lagged_sum|  19|   1000000|     100|0.60733190|  PASSED
      rgb_lagged_sum|  20|   1000000|     100|0.45193746|  PASSED
      rgb_lagged_sum|  21|   1000000|     100|0.33346859|  PASSED
      rgb_lagged_sum|  22|   1000000|     100|0.88801807|  PASSED
      rgb_lagged_sum|  23|   1000000|     100|0.97212614|  PASSED
      rgb_lagged_sum|  24|   1000000|     100|0.70594772|  PASSED
      rgb_lagged_sum|  25|   1000000|     100|0.62085467|  PASSED
      rgb_lagged_sum|  26|   1000000|     100|0.40760281|  PASSED
      rgb_lagged_sum|  27|   1000000|     100|0.10530014|  PASSED
      rgb_lagged_sum|  28|   1000000|     100|0.55554739|  PASSED
      rgb_lagged_sum|  29|   1000000|     100|0.50448363|  PASSED
      rgb_lagged_sum|  30|   1000000|     100|0.50150391|  PASSED
      rgb_lagged_sum|  31|   1000000|     100|0.14083197|  PASSED
      rgb_lagged_sum|  32|   1000000|     100|0.97180619|  PASSED
     rgb_kstest_test|   0|     10000|    1000|0.09802795|  PASSED
     dab_bytedistrib|   0|  51200000|       1|0.31542973|  PASSED
             dab_dct| 256|     50000|       1|0.29717109|  PASSED
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.95405590|  PASSED
        dab_filltree|  32|  15000000|       1|0.30797843|  PASSED
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.57813097|  PASSED
